Proposal_Number,Grant_Number,Field_of_Science,Field_of_Science_Division,Field_of_Science_Directorate,Project_Type,Transaction_Type,Start_Date,End_Date
DMR120068,DMR120068,Materials Research,Materials Research,Mathematical and Physical Sciences,XRAC,new,10/1/2012,9/30/2013
AST120072,AST120072,Extragalactic Astronomy and Cosmology,Astronomical Sciences,Mathematical and Physical Sciences,Startup,new,10/3/2012,10/2/2013
DMR130017,DMR130017,Condensed Matter Physics,Materials Research,Mathematical and Physical Sciences,Startup,new,10/31/2012,10/30/2013
AST130021,AST130021,Extragalactic Astronomy and Cosmology,Astronomical Sciences,Mathematical and Physical Sciences,XRAC,new,4/1/2013,3/31/2014
MCB080071,MCB080116N,Biophysics,Molecular Biosciences,Biological Sciences,XRAC,renewal,4/1/2013,3/31/2014
ATM130034,ATM130034,Climate Dynamics,Atmospheric Sciences,Geosciences,Startup,new,4/26/2013,4/25/2014
MCB130130,MCB130130,Genetics and Nucleic Acids,Molecular Biosciences,Biological Sciences,Startup,new,5/7/2013,5/6/2014
MCB130148,MCB130148,Biochemistry and Molecular Structure and Function,Molecular Biosciences,Biological Sciences,Startup,new,8/17/2013,8/16/2014
PHY130041,PHY130041,Physics,Physics,Mathematical and Physical Sciences,Startup,new,9/5/2013,9/4/2014
ASC130050,ASC130050,Advanced Scientific Computing,Advanced Scientific Computing,Computer and Information Science and Engineering,Campus Champions,new,9/12/2013,9/11/2014
MCB130177,MCB130177,Biophysics,Molecular Biosciences,Biological Sciences,XRAC,new,10/1/2013,9/30/2014
MCB110062,MCB110062,Biophysics,Molecular Biosciences,Biological Sciences,XRAC,renewal,10/1/2013,9/30/2014
DMR120068,DMR120068,Materials Research,Materials Research,Mathematical and Physical Sciences,XRAC,renewal,10/1/2013,9/30/2014
PHY140003,PHY140003,Nuclear Physics,Physics,Mathematical and Physical Sciences,Startup,new,10/15/2013,10/14/2014
AST140004,AST140004,Extragalactic Astronomy and Cosmology,Astronomical Sciences,Mathematical and Physical Sciences,XRAC,new,1/1/2014,12/31/2014
MCB080071,MCB080116N,Biophysics,Molecular Biosciences,Biological Sciences,XRAC,renewal,4/1/2014,3/31/2015
CCR140030,CCR140030,Computer and Computation Research,Computer and Computation Research,Computer and Information Science and Engineering,Educational,new,4/15/2014,4/14/2015
DMR140067,DMR140067,Materials Research,Materials Research,Mathematical and Physical Sciences,Startup,new,5/9/2014,5/8/2015
DBS140003,DBS140003,Anthropology,Behavioral and Neural Sciences,"Social, Behavioral, and Economic Sciences",XRAC,renewal,7/1/2014,6/30/2015
DMS140043,DMS140043,Applied Mathematics,Mathematical Sciences,Mathematical and Physical Sciences,Educational,new,8/9/2014,8/8/2015
ASC130050,ASC130050,Advanced Scientific Computing,Advanced Scientific Computing,Computer and Information Science and Engineering,Campus Champions,renewal,10/15/2014,10/14/2015
EAR140034,EAR140034,Geology and Paleontology,Earth Sciences,Geosciences,Startup,new,10/28/2014,10/27/2015
ENG140005,ENG140005,Engineering,Engineering,Engineering,Startup,new,11/12/2014,11/11/2015
ENG140002,ENG140002,Engineering,Engineering,Engineering,Startup,new,12/9/2014,12/8/2015
MCB130177,MCB130177,Biophysics,Molecular Biosciences,Biological Sciences,Research,renewal,1/1/2015,12/31/2015
DMR140143,DMR140143,Materials Research,Materials Research,Mathematical and Physical Sciences,Startup,new,12/22/2014,12/21/2015
PHY140057,PHY140057,Elementary Particle Physics,Physics,Mathematical and Physical Sciences,Startup,new,1/8/2015,1/7/2016
PHY150002,PHY150002,Physics,Physics,Mathematical and Physical Sciences,Startup,new,1/16/2015,1/15/2016
PHY150004,PHY150004,Physics,Physics,Mathematical and Physical Sciences,Research,new,4/1/2015,3/31/2016
AST140004,AST140004,Extragalactic Astronomy and Cosmology,Astronomical Sciences,Mathematical and Physical Sciences,Research,renewal,4/1/2015,3/31/2016
DMR150006,DMR150006,Materials Research,Materials Research,Mathematical and Physical Sciences,Research,new,4/1/2015,3/31/2016
CTS150027,CTS150027,"Fluid, Particulate, and Hydraulic Systems","Chemical, Thermal Systems",Engineering,Startup,new,6/10/2015,6/9/2016
CTS150027,CTS150027,"Fluid, Particulate, and Hydraulic Systems","Chemical, Thermal Systems",Engineering,Startup,new,6/17/2015,6/16/2016
ENG150019,ENG150019,Engineering,Engineering,Engineering,Research,new,7/1/2015,6/30/2016
MCB080071,MCB080116N,Biophysics,Molecular Biosciences,Biological Sciences,Research,renewal,7/1/2015,6/30/2016
DMR150050,DMR150050,Materials Research,Materials Research,Mathematical and Physical Sciences,Startup,new,7/6/2015,7/5/2016
PHY140003,PHY140003,Nuclear Physics,Physics,Mathematical and Physical Sciences,Startup,renewal,7/7/2015,7/6/2016
CTS150039,CTS150039,"Fluid, Particulate, and Hydraulic Systems","Chemical, Thermal Systems",Engineering,Research,new,10/1/2015,9/30/2016
AST130021,AST130021,Astronomical Sciences,Astronomical Sciences,Mathematical and Physical Sciences,Research,renewal,10/1/2015,9/30/2016
MCB110062,MCB110062,Biophysics,Molecular Biosciences,Biological Sciences,Research,renewal,10/1/2015,9/30/2016
ASC130050,ASC130050,Other,Other,Other,Campus Champions,renewal,10/15/2015,10/14/2016
OTH150005,OTH150005,Other,Other,Other,Startup,new,10/20/2015,10/19/2016
MCB130177,MCB130177,Biophysics,Molecular Biosciences,Biological Sciences,Research,renewal,1/1/2016,12/31/2016
DBS140003,DBS140003,Anthropology,Behavioral and Neural Sciences,"Social, Behavioral, and Economic Sciences",Research,renewal,4/1/2016,3/31/2017
PHY160027,PHY160027,Nuclear Physics,Physics,Mathematical and Physical Sciences,Research,new,7/1/2016,6/30/2017
ENG150019,ENG150019,Engineering,Engineering,Engineering,Research,renewal,7/1/2016,6/30/2017
MCB080071,MCB080116N,Biophysics,Molecular Biosciences,Biological Sciences,Research,renewal,7/1/2016,6/30/2017
DMR150006,DMR150006,Materials Research,Materials Research,Mathematical and Physical Sciences,Research,renewal,10/1/2016,9/30/2017
AST160056,AST160056,Astronomical Sciences,Astronomical Sciences,Mathematical and Physical Sciences,Startup,new,10/4/2016,10/3/2017
MCB130177,MCB130177,Biophysics,Molecular Biosciences,Biological Sciences,Research,renewal,10/19/2016,12/31/2016
CTS150039,CTS150039,"Chemical, Thermal Systems","Chemical, Thermal Systems",Engineering,Research,renewal,1/1/2017,12/31/2017
CTS160064,CTS160064,"Fluid, Particulate, and Hydraulic Systems","Chemical, Thermal Systems",Engineering,Research,new,12/15/2016,12/31/2016
AST130021,AST130021,Astronomical Sciences,Astronomical Sciences,Mathematical and Physical Sciences,Research,renewal,1/1/2017,12/31/2017
MCB130177,MCB130177,Biophysics,Molecular Biosciences,Biological Sciences,Research,renewal,1/1/2017,12/31/2017
AST160063,AST160063,Astronomical Sciences,Astronomical Sciences,Mathematical and Physical Sciences,Research,new,1/1/2017,12/31/2017
CTS160064,CTS160064,"Fluid, Particulate, and Hydraulic Systems","Chemical, Thermal Systems",Engineering,Research,new,1/1/2017,12/31/2017
CHE170010,CHE170010,Chemistry,Chemistry,Mathematical and Physical Sciences,Startup,new,1/30/2017,1/29/2018
ECS170004,ECS170004,Electrical and Communication Systems,Electrical and Communication Systems,Engineering,Startup,new,6/7/2017,6/6/2018
PHY160027,PHY160027,Nuclear Physics,Physics,Mathematical and Physical Sciences,Research,renewal,7/1/2017,6/30/2018
MCB170104,MCB170104,Genetics and Nucleic Acids,Molecular Biosciences,Biological Sciences,Campus Champions,new,8/4/2017,8/3/2018
DBS140003,DBS140003,Cross-Disciplinary Activities,Cross-Disciplinary Activities,Computer and Information Science and Engineering,Research,renewal,10/1/2017,9/30/2018
DMR170070,DMR170070,Materials Research,Materials Research,Mathematical and Physical Sciences,Research,new,10/1/2017,9/30/2018
MCB080071,MCB080116N,Physics,Physics,Mathematical and Physical Sciences,Research,renewal,10/4/2017,12/31/2017
EAR170020,EAR170020,Geophysics,Earth Sciences,Geosciences,Startup,new,11/20/2017,11/19/2018
MCB130177,MCB130177,Biophysics,Molecular Biosciences,Biological Sciences,Research,renewal,1/1/2018,12/31/2018
CTS160064,CTS160064,"Fluid, Particulate, and Hydraulic Systems","Chemical, Thermal Systems",Engineering,Research,renewal,1/1/2018,12/31/2018
MCB080071,MCB080116N,Physics,Physics,Mathematical and Physical Sciences,Research,renewal,1/1/2018,12/31/2018
AST130021,AST130021,Astronomical Sciences,Astronomical Sciences,Mathematical and Physical Sciences,Research,renewal,1/1/2018,12/31/2018
MCB180033,MCB180033,Biophysics,Molecular Biosciences,Biological Sciences,Startup,new,2/22/2018,2/21/2019
DBS180002,DBS180002,Anthropology,Behavioral and Neural Sciences,"Social, Behavioral, and Economic Sciences",Startup,new,3/7/2018,3/6/2019
BIO180021,BIO180021,Biological Sciences,Biological Sciences,Biological Sciences,Startup,new,3/14/2018,3/13/2019
MCB180069,MCB180069,Genetics and Nucleic Acids,Molecular Biosciences,Biological Sciences,Startup,new,5/29/2018,5/28/2019
PHY160027,PHY160027,Nuclear Physics,Physics,Mathematical and Physical Sciences,Research,renewal,7/1/2018,6/30/2019
ASC180036,ASC180036,Advanced Scientific Computing,Advanced Scientific Computing,Computer and Information Science and Engineering,Campus Champions,new,6/27/2018,6/26/2019
AST180035,AST180035,Planetary Astronomy,Astronomical Sciences,Mathematical and Physical Sciences,Startup,new,7/25/2018,7/24/2019
MCB170104,MCB170104,Training,Training,Other,Campus Champions,renewal,8/4/2018,8/3/2019
ECS180012,ECS180012,Communications and Computational Systems,Electrical and Communication Systems,Engineering,Startup,new,8/22/2018,8/21/2019
ENG150019,ENG150019,"Fluid, Particulate, and Hydraulic Systems","Chemical, Thermal Systems",Engineering,Research,renewal,10/1/2018,9/30/2019
DMR180092,DMR180092,Condensed Matter Physics,Materials Research,Mathematical and Physical Sciences,Startup,new,9/17/2018,9/16/2019
SBE180007,SBE180007,"Social, Behavioral, and Economic Sciences","Social, Behavioral, and Economic Sciences","Social, Behavioral, and Economic Sciences",Startup,new,12/11/2018,12/10/2019
AST130021,AST130021,Astronomical Sciences,Astronomical Sciences,Mathematical and Physical Sciences,Research,renewal,1/1/2019,12/31/2019
MCB180159,MCB180159,Genetics and Nucleic Acids,Molecular Biosciences,Biological Sciences,Research,new,1/1/2019,12/31/2019
EAR180025,EAR180025,Geophysics,Earth Sciences,Geosciences,Research,new,1/1/2019,12/31/2019
DMR180127,DMR180127,Materials Research,Materials Research,Mathematical and Physical Sciences,Campus Champions,new,12/18/2018,12/17/2019
DMR170070,DMR170070,Materials Research,Materials Research,Mathematical and Physical Sciences,Research,renewal,6/26/2019,9/30/2019
BCS190015,BCS190015,Bioengineering Aiding the Disabled,Biological and Critical Systems,Engineering,Research,new,11/7/2019,12/31/2019
ASC090064,ASC090064,"Visualization, Graphics, and Image Processing",Advanced Scientific Computing,Computer and Information Science and Engineering,Startup,new,6/12/2009,6/12/2010
CHE110110,CHE110110,Chemistry,Chemistry,Mathematical and Physical Sciences,Startup,new,10/7/2011,10/7/2012
CHE110110,CHE110110,Chemistry,Chemistry,Mathematical and Physical Sciences,Startup,new,1/13/2012,1/13/2013
IRI120011,IRI120011,"Information, Robotics, and Intelligent Systems","Information, Robotics, and Intelligent Systems",Computer and Information Science and Engineering,Startup,new,5/8/2012,5/8/2013
DMR130126,DMR130126,Condensed Matter Physics,Materials Research,Mathematical and Physical Sciences,Startup,new,8/3/2013,8/2/2014
TRA130028,TRA130028,Training,Training,Other,Campus Champions,new,8/13/2013,8/12/2014
IRI120011,IRI120011,Information Technology and Organizations,"Information, Robotics, and Intelligent Systems",Computer and Information Science and Engineering,Startup,renewal,8/28/2013,8/27/2014
CHE150008,CHE150008,Chemistry,Chemistry,Mathematical and Physical Sciences,Startup,new,2/17/2015,2/16/2016
,ASC070009N,Advanced Scientific Computing,Advanced Scientific Computing,Computer and Information Science and Engineering,,new,1/22/2007,5/31/2007
CCR090022,CCR090022,Computer and Computation Theory,Computer and Computation Research,Computer and Information Science and Engineering,Educational,new,1/30/2009,1/30/2010
ASC130052,ASC130052,Software Development,Advanced Scientific Computing,Computer and Information Science and Engineering,Educational,new,9/14/2013,9/13/2014
BCS120004,BCS120004,Biological and Critical Systems,Biological and Critical Systems,Engineering,Startup,new,7/21/2012,7/20/2013
PHY050015,PHY050021N,Physics,Physics,Mathematical and Physical Sciences,,new,4/1/2005,3/31/2006
PHY050015,PHY050022N,Physics,Physics,Mathematical and Physical Sciences,,new,4/1/2005,3/31/2006
CCR060030,CCR060021T,Computer and Computation Research,Computer and Computation Research,Computer and Information Science and Engineering,,new,8/31/2006,8/31/2007
PHY090083,PHY090083,"Atomic, Molecular, and Optical Physics",Physics,Mathematical and Physical Sciences,TRAC,new,7/1/2009,6/30/2010
PHY090083,PHY090083,"Atomic, Molecular, and Optical Physics",Physics,Mathematical and Physical Sciences,TRAC,renewal,7/1/2010,6/30/2011
EAR110006,EAR110006,Earth Sciences,Earth Sciences,Geosciences,Startup,new,2/4/2011,2/4/2012
PHY090083,PHY090083,"Atomic, Molecular, and Optical Physics",Physics,Mathematical and Physical Sciences,TRAC,renewal,7/1/2011,6/30/2012
DMR120006,DMR120006,Materials Research,Materials Research,Mathematical and Physical Sciences,XRAC,new,1/1/2012,12/31/2012
PHY090083,PHY090083,"Atomic, Molecular, and Optical Physics",Physics,Mathematical and Physical Sciences,XRAC,renewal,7/1/2012,6/30/2013
PHY090083,PHY090083,"Atomic, Molecular, and Optical Physics",Physics,Mathematical and Physical Sciences,XRAC,renewal,10/1/2013,9/30/2014
CIE150006,CIE150006,Computer and Information Science and Engineering,Computer and Information Science and Engineering,Computer and Information Science and Engineering,Startup,new,3/4/2015,3/3/2016
CIE150007,CIE150007,Computer and Information Science and Engineering,Computer and Information Science and Engineering,Computer and Information Science and Engineering,Startup,new,3/9/2015,3/8/2016
MSS160023,MSS160023,Dynamic Systems and Control,Mechanical and Structural Systems,Engineering,Startup,new,9/16/2016,9/15/2017
BIO170072,BIO170072,Biological Sciences,Biological Sciences,Biological Sciences,Educational,new,8/15/2017,8/14/2018
MCB130140,MCB130140,Biophysics,Molecular Biosciences,Biological Sciences,Startup,new,6/12/2013,6/11/2014
PHY140048,PHY140048,Physics,Physics,Mathematical and Physical Sciences,Campus Champions,new,8/25/2014,8/24/2015
PHY140048,PHY140048,Physics,Physics,Mathematical and Physical Sciences,Campus Champions,renewal,5/3/2016,5/2/2017
DMR160079,DMR160079,Materials Research,Materials Research,Mathematical and Physical Sciences,Startup,new,6/3/2016,6/2/2017
PHY140048,PHY140048,Physics,Physics,Mathematical and Physical Sciences,Campus Champions,renewal,8/22/2017,8/21/2018
PHY140048,PHY140048,Physics,Physics,Mathematical and Physical Sciences,Campus Champions,renewal,10/10/2018,10/9/2019
ASC110019,ASC110019,Performance Evaluation and Benchmarking,Advanced Scientific Computing,Computer and Information Science and Engineering,Startup,new,1/26/2011,1/26/2012
CHE130038,CHE130038,Physical Chemistry,Chemistry,Mathematical and Physical Sciences,Startup,new,2/12/2013,2/11/2014
CHE070007,CHE070001N,Chemistry,Chemistry,Mathematical and Physical Sciences,,new,10/24/2006,10/31/2007
CHE050105,CHE060000N,Chemistry,Chemistry,Mathematical and Physical Sciences,,renewal,11/14/2006,11/30/2007
CHE070102,CHE070101N,Chemistry,Chemistry,Mathematical and Physical Sciences,,new,9/27/2007,9/30/2008
CHE050105,CHE060000N,Chemistry,Chemistry,Mathematical and Physical Sciences,,renewal,9/27/2007,9/30/2008
CHE080008,CHE080009N,Chemistry,Chemistry,Mathematical and Physical Sciences,,new,10/31/2007,10/31/2008
CHE050105,CHE060000N,Chemistry,Chemistry,Mathematical and Physical Sciences,DAC-NCSA,renewal,10/1/2008,10/1/2009
CHE070102,CHE070101N,Organic and Macromolecular Chemistry,Chemistry,Mathematical and Physical Sciences,DAC-NCSA,renewal,10/1/2008,10/1/2009
CHE070102,CHE070101N,Organic and Macromolecular Chemistry,Chemistry,Mathematical and Physical Sciences,Startup,renewal,10/2/2009,10/2/2010
CHE100053,CHE100053,Organic and Macromolecular Chemistry,Chemistry,Mathematical and Physical Sciences,Startup,new,3/2/2010,3/2/2011
CHE070102,CHE070101N,Chemistry,Chemistry,Mathematical and Physical Sciences,Startup,renewal,3/22/2011,3/22/2012
CHE120053,CHE120053,Organic and Macromolecular Chemistry,Chemistry,Mathematical and Physical Sciences,XRAC,new,7/1/2012,6/30/2013
CHE060069,CHE060071N,Chemistry,Chemistry,Mathematical and Physical Sciences,,new,9/6/2006,9/30/2007
CHE100133,CHE100133,Organic and Macromolecular Chemistry,Chemistry,Mathematical and Physical Sciences,Startup,new,8/13/2010,8/13/2011
